+-------+-----+-----+-----+--------+---------------------------------------------------------+-------+-------+---------+-------+-------+
| COUNT | 5XX | 4XX | 2XX | METHOD |                           URI                           |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |
+-------+-----+-----+-----+--------+---------------------------------------------------------+-------+-------+---------+-------+-------+
| 68    | 0   | 0   | 68  | GET    | /                                                       | 1.288 | 8.764 | 488.803 | 7.188 | 8.456 |
| 2     | 0   | 0   | 2   | GET    | /posts?max_created_at=2016-01-02T11%3A46%3A25%2B09%3A00 | 7.780 | 8.260 | 16.040  | 8.020 | 8.260 |
| 2     | 0   | 0   | 2   | GET    | /posts?max_created_at=2016-01-02T11%3A46%3A21%2B09%3A00 | 7.276 | 8.120 | 15.396  | 7.698 | 8.120 |
| 1     | 0   | 0   | 1   | GET    | /posts?max_created_at=2016-01-02T11%3A46%3A30%2B09%3A00 | 8.144 | 8.144 | 8.144   | 8.144 | 8.144 |
| 1     | 0   | 0   | 1   | GET    | /posts?max_created_at=2016-01-02T11%3A46%3A29%2B09%3A00 | 7.652 | 7.652 | 7.652   | 7.652 | 7.652 |
| 1     | 0   | 0   | 1   | GET    | /posts?max_created_at=2016-01-02T11%3A46%3A26%2B09%3A00 | 7.420 | 7.420 | 7.420   | 7.420 | 7.420 |
| 1     | 0   | 0   | 1   | GET    | /posts?max_created_at=2016-01-02T11%3A46%3A23%2B09%3A00 | 7.336 | 7.336 | 7.336   | 7.336 | 7.336 |
| 1     | 0   | 0   | 1   | GET    | /@leanna                                                | 6.124 | 6.124 | 6.124   | 6.124 | 6.124 |
| 1     | 0   | 0   | 1   | GET    | /@gladys                                                | 4.984 | 4.984 | 4.984   | 4.984 | 4.984 |
| 1     | 0   | 0   | 1   | GET    | /@vanessa                                               | 4.784 | 4.784 | 4.784   | 4.784 | 4.784 |
| 1     | 0   | 0   | 1   | GET    | /@gilda                                                 | 4.732 | 4.732 | 4.732   | 4.732 | 4.732 |
| 1     | 0   | 0   | 1   | GET    | /@jenifer                                               | 4.708 | 4.708 | 4.708   | 4.708 | 4.708 |
| 1     | 0   | 0   | 1   | GET    | /@helena                                                | 4.676 | 4.676 | 4.676   | 4.676 | 4.676 |
| 1     | 0   | 0   | 1   | GET    | /@fanny                                                 | 4.540 | 4.540 | 4.540   | 4.540 | 4.540 |
| 1     | 0   | 0   | 1   | GET    | /@nichole                                               | 4.408 | 4.408 | 4.408   | 4.408 | 4.408 |
| 1     | 0   | 0   | 1   | GET    | /@sue                                                   | 4.404 | 4.404 | 4.404   | 4.404 | 4.404 |
| 1     | 0   | 0   | 1   | GET    | /@freida                                                | 4.252 | 4.252 | 4.252   | 4.252 | 4.252 |
| 1     | 0   | 0   | 1   | GET    | /@dorothy                                               | 4.064 | 4.064 | 4.064   | 4.064 | 4.064 |
| 1     | 0   | 0   | 1   | GET    | /@kerri                                                 | 3.972 | 3.972 | 3.972   | 3.972 | 3.972 |
| 1     | 0   | 0   | 1   | GET    | /@dona                                                  | 3.852 | 3.852 | 3.852   | 3.852 | 3.852 |
| 1     | 0   | 0   | 1   | GET    | /@lois                                                  | 3.840 | 3.840 | 3.840   | 3.840 | 3.840 |
| 1     | 0   | 0   | 1   | GET    | /@shawna                                                | 3.756 | 3.756 | 3.756   | 3.756 | 3.756 |
| 1     | 0   | 0   | 1   | GET    | /@rosario                                               | 3.608 | 3.608 | 3.608   | 3.608 | 3.608 |
| 1     | 0   | 0   | 1   | GET    | /@dolores                                               | 3.156 | 3.156 | 3.156   | 3.156 | 3.156 |
| 1     | 0   | 0   | 1   | GET    | /@leann                                                 | 2.900 | 2.900 | 2.900   | 2.900 | 2.900 |
| 1     | 0   | 0   | 1   | GET    | /@ora                                                   | 2.556 | 2.556 | 2.556   | 2.556 | 2.556 |
| 1     | 0   | 0   | 1   | GET    | /@theresa                                               | 2.468 | 2.468 | 2.468   | 2.468 | 2.468 |
| 2     | 0   | 0   | 2   | GET    | /@lynnette                                              | 0.880 | 0.996 | 1.876   | 0.938 | 0.996 |
| 1     | 0   | 0   | 1   | GET    | /@megan                                                 | 1.092 | 1.092 | 1.092   | 1.092 | 1.092 |
| 48    | 0   | 0   | 0   | POST   | /login                                                  | 0.016 | 0.064 | 0.864   | 0.018 | 0.040 |
| 2     | 0   | 0   | 2   | GET    | /posts/8849                                             | 0.332 | 0.452 | 0.784   | 0.392 | 0.452 |
| 1     | 0   | 0   | 1   | GET    | /@nell                                                  | 0.712 | 0.712 | 0.712   | 0.712 | 0.712 |
| 2     | 0   | 0   | 2   | GET    | /posts/3117                                             | 0.328 | 0.372 | 0.700   | 0.350 | 0.372 |
| 1     | 0   | 0   | 1   | GET    | /posts/8359                                             | 0.560 | 0.560 | 0.560   | 0.560 | 0.560 |
| 1     | 0   | 0   | 1   | GET    | /posts/625                                              | 0.524 | 0.524 | 0.524   | 0.524 | 0.524 |
| 1     | 0   | 0   | 1   | GET    | /posts/9378                                             | 0.476 | 0.476 | 0.476   | 0.476 | 0.476 |
| 1     | 0   | 0   | 1   | GET    | /posts/941                                              | 0.472 | 0.472 | 0.472   | 0.472 | 0.472 |
| 1     | 0   | 0   | 1   | GET    | /posts/10009                                            | 0.440 | 0.440 | 0.440   | 0.440 | 0.440 |
| 1     | 0   | 0   | 1   | GET    | /posts/6080                                             | 0.436 | 0.436 | 0.436   | 0.436 | 0.436 |
| 1     | 0   | 0   | 1   | GET    | /posts/2795                                             | 0.432 | 0.432 | 0.432   | 0.432 | 0.432 |
| 1     | 0   | 0   | 1   | GET    | /posts/4075                                             | 0.428 | 0.428 | 0.428   | 0.428 | 0.428 |
| 1     | 0   | 0   | 1   | GET    | /posts/4771                                             | 0.428 | 0.428 | 0.428   | 0.428 | 0.428 |
| 1     | 0   | 0   | 1   | GET    | /posts/6592                                             | 0.424 | 0.424 | 0.424   | 0.424 | 0.424 |
| 1     | 0   | 0   | 1   | GET    | /posts/5081                                             | 0.424 | 0.424 | 0.424   | 0.424 | 0.424 |
| 1     | 0   | 0   | 1   | GET    | /posts/9018                                             | 0.420 | 0.420 | 0.420   | 0.420 | 0.420 |
| 1     | 0   | 0   | 1   | GET    | /posts/8818                                             | 0.420 | 0.420 | 0.420   | 0.420 | 0.420 |
| 1     | 0   | 0   | 1   | GET    | /posts/7100                                             | 0.420 | 0.420 | 0.420   | 0.420 | 0.420 |
| 1     | 0   | 0   | 1   | GET    | /posts/5750                                             | 0.420 | 0.420 | 0.420   | 0.420 | 0.420 |
| 1     | 0   | 0   | 1   | GET    | /posts/1018                                             | 0.420 | 0.420 | 0.420   | 0.420 | 0.420 |
| 1     | 0   | 0   | 1   | GET    | /posts/7168                                             | 0.420 | 0.420 | 0.420   | 0.420 | 0.420 |
| 1     | 0   | 0   | 1   | GET    | /posts/7214                                             | 0.416 | 0.416 | 0.416   | 0.416 | 0.416 |
| 1     | 0   | 0   | 1   | GET    | /posts/10007                                            | 0.416 | 0.416 | 0.416   | 0.416 | 0.416 |
| 1     | 0   | 0   | 1   | GET    | /posts/695                                              | 0.412 | 0.412 | 0.412   | 0.412 | 0.412 |
| 1     | 0   | 0   | 1   | GET    | /posts/7473                                             | 0.412 | 0.412 | 0.412   | 0.412 | 0.412 |
| 1     | 0   | 0   | 1   | GET    | /posts/883                                              | 0.408 | 0.408 | 0.408   | 0.408 | 0.408 |
| 1     | 0   | 0   | 1   | GET    | /posts/2435                                             | 0.408 | 0.408 | 0.408   | 0.408 | 0.408 |
| 1     | 0   | 0   | 1   | GET    | /posts/6902                                             | 0.408 | 0.408 | 0.408   | 0.408 | 0.408 |
| 1     | 0   | 0   | 1   | GET    | /posts/10010                                            | 0.404 | 0.404 | 0.404   | 0.404 | 0.404 |
| 1     | 0   | 0   | 1   | GET    | /posts/1958                                             | 0.404 | 0.404 | 0.404   | 0.404 | 0.404 |
| 1     | 0   | 0   | 1   | GET    | /posts/4202                                             | 0.404 | 0.404 | 0.404   | 0.404 | 0.404 |
| 1     | 0   | 0   | 1   | GET    | /posts/3432                                             | 0.400 | 0.400 | 0.400   | 0.400 | 0.400 |
| 1     | 0   | 0   | 1   | GET    | /posts/7249                                             | 0.400 | 0.400 | 0.400   | 0.400 | 0.400 |
| 1     | 0   | 0   | 1   | GET    | /posts/8182                                             | 0.400 | 0.400 | 0.400   | 0.400 | 0.400 |
| 1     | 0   | 0   | 1   | GET    | /posts/3089                                             | 0.400 | 0.400 | 0.400   | 0.400 | 0.400 |
