+-------+-----+-----+------+--------+---------------------------------------------------------+-------+-------+---------+-------+-------+
| COUNT | 5XX | 4XX | 2XX  | METHOD |                           URI                           |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |
+-------+-----+-----+------+--------+---------------------------------------------------------+-------+-------+---------+-------+-------+
| 68    | 0   | 0   | 68   | GET    | /                                                       | 1.288 | 8.764 | 488.803 | 7.188 | 8.456 |
| 173   | 0   | 0   | 173  | GET    | /posts/[0-9]+                                           | 0.060 | 0.560 | 62.136  | 0.359 | 0.420 |
| 2     | 0   | 0   | 2    | GET    | /posts?max_created_at=2016-01-02T11%3A46%3A25%2B09%3A00 | 7.780 | 8.260 | 16.040  | 8.020 | 8.260 |
| 2     | 0   | 0   | 2    | GET    | /posts?max_created_at=2016-01-02T11%3A46%3A21%2B09%3A00 | 7.276 | 8.120 | 15.396  | 7.698 | 8.120 |
| 1     | 0   | 0   | 1    | GET    | /posts?max_created_at=2016-01-02T11%3A46%3A30%2B09%3A00 | 8.144 | 8.144 | 8.144   | 8.144 | 8.144 |
| 1     | 0   | 0   | 1    | GET    | /posts?max_created_at=2016-01-02T11%3A46%3A29%2B09%3A00 | 7.652 | 7.652 | 7.652   | 7.652 | 7.652 |
| 1     | 0   | 0   | 1    | GET    | /posts?max_created_at=2016-01-02T11%3A46%3A26%2B09%3A00 | 7.420 | 7.420 | 7.420   | 7.420 | 7.420 |
| 1     | 0   | 0   | 1    | GET    | /posts?max_created_at=2016-01-02T11%3A46%3A23%2B09%3A00 | 7.336 | 7.336 | 7.336   | 7.336 | 7.336 |
| 1     | 0   | 0   | 1    | GET    | /@leanna                                                | 6.124 | 6.124 | 6.124   | 6.124 | 6.124 |
| 1     | 0   | 0   | 1    | GET    | /@gladys                                                | 4.984 | 4.984 | 4.984   | 4.984 | 4.984 |
| 1     | 0   | 0   | 1    | GET    | /@vanessa                                               | 4.784 | 4.784 | 4.784   | 4.784 | 4.784 |
| 1     | 0   | 0   | 1    | GET    | /@gilda                                                 | 4.732 | 4.732 | 4.732   | 4.732 | 4.732 |
| 1     | 0   | 0   | 1    | GET    | /@jenifer                                               | 4.708 | 4.708 | 4.708   | 4.708 | 4.708 |
| 1     | 0   | 0   | 1    | GET    | /@helena                                                | 4.676 | 4.676 | 4.676   | 4.676 | 4.676 |
| 1     | 0   | 0   | 1    | GET    | /@fanny                                                 | 4.540 | 4.540 | 4.540   | 4.540 | 4.540 |
| 1     | 0   | 0   | 1    | GET    | /@nichole                                               | 4.408 | 4.408 | 4.408   | 4.408 | 4.408 |
| 1     | 0   | 0   | 1    | GET    | /@sue                                                   | 4.404 | 4.404 | 4.404   | 4.404 | 4.404 |
| 1     | 0   | 0   | 1    | GET    | /@freida                                                | 4.252 | 4.252 | 4.252   | 4.252 | 4.252 |
| 1     | 0   | 0   | 1    | GET    | /@dorothy                                               | 4.064 | 4.064 | 4.064   | 4.064 | 4.064 |
| 1     | 0   | 0   | 1    | GET    | /@kerri                                                 | 3.972 | 3.972 | 3.972   | 3.972 | 3.972 |
| 1     | 0   | 0   | 1    | GET    | /@dona                                                  | 3.852 | 3.852 | 3.852   | 3.852 | 3.852 |
| 1     | 0   | 0   | 1    | GET    | /@lois                                                  | 3.840 | 3.840 | 3.840   | 3.840 | 3.840 |
| 1     | 0   | 0   | 1    | GET    | /@shawna                                                | 3.756 | 3.756 | 3.756   | 3.756 | 3.756 |
| 1     | 0   | 0   | 1    | GET    | /@rosario                                               | 3.608 | 3.608 | 3.608   | 3.608 | 3.608 |
| 1     | 0   | 0   | 1    | GET    | /@dolores                                               | 3.156 | 3.156 | 3.156   | 3.156 | 3.156 |
| 1     | 0   | 0   | 1    | GET    | /@leann                                                 | 2.900 | 2.900 | 2.900   | 2.900 | 2.900 |
| 1329  | 0   | 0   | 1329 | GET    | /image                                                  | 0.000 | 0.296 | 2.752   | 0.002 | 0.004 |
| 1     | 0   | 0   | 1    | GET    | /@ora                                                   | 2.556 | 2.556 | 2.556   | 2.556 | 2.556 |
| 1     | 0   | 0   | 1    | GET    | /@theresa                                               | 2.468 | 2.468 | 2.468   | 2.468 | 2.468 |
| 2     | 0   | 0   | 2    | GET    | /@lynnette                                              | 0.880 | 0.996 | 1.876   | 0.938 | 0.996 |
| 1     | 0   | 0   | 1    | GET    | /@megan                                                 | 1.092 | 1.092 | 1.092   | 1.092 | 1.092 |
| 48    | 0   | 0   | 0    | POST   | /login                                                  | 0.016 | 0.064 | 0.864   | 0.018 | 0.040 |
| 1     | 0   | 0   | 1    | GET    | /@nell                                                  | 0.712 | 0.712 | 0.712   | 0.712 | 0.712 |
| 10    | 0   | 5   | 0    | POST   | /                                                       | 0.000 | 0.128 | 0.264   | 0.026 | 0.052 |
| 5     | 0   | 0   | 0    | POST   | /register                                               | 0.020 | 0.076 | 0.168   | 0.034 | 0.076 |
| 222   | 0   | 0   | 222  | GET    | /css/style.css                                          | 0.000 | 0.004 | 0.084   | 0.000 | 0.000 |
| 6     | 0   | 0   | 0    | POST   | /comment                                                | 0.008 | 0.024 | 0.068   | 0.011 | 0.024 |
| 1     | 0   | 0   | 1    | GET    | /initialize                                             | 0.068 | 0.068 | 0.068   | 0.068 | 0.068 |
| 222   | 0   | 0   | 222  | GET    | /favicon.ico                                            | 0.000 | 0.004 | 0.056   | 0.000 | 0.000 |
| 222   | 0   | 0   | 222  | GET    | /js/timeago.min.js                                      | 0.000 | 0.008 | 0.052   | 0.000 | 0.000 |
| 222   | 0   | 0   | 222  | GET    | /js/main.js                                             | 0.000 | 0.004 | 0.052   | 0.000 | 0.000 |
| 9     | 0   | 0   | 0    | GET    | /logout                                                 | 0.000 | 0.004 | 0.008   | 0.001 | 0.004 |
| 18    | 0   | 0   | 18   | GET    | /login                                                  | 0.000 | 0.004 | 0.004   | 0.000 | 0.000 |
| 5     | 0   | 5   | 0    | GET    | /admin/banned                                           | 0.000 | 0.004 | 0.004   | 0.001 | 0.004 |
+-------+-----+-----+------+--------+---------------------------------------------------------+-------+-------+---------+-------+-------+
