+-------+-----+-----+------+--------+---------------------------+-------+-------+---------+-------+-------+
| COUNT | 5XX | 4XX | 2XX  | METHOD |            URI            |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |
+-------+-----+-----+------+--------+---------------------------+-------+-------+---------+-------+-------+
| 68    | 0   | 0   | 68   | GET    | /                         | 1.288 | 8.764 | 488.803 | 7.188 | 8.456 |
| 24    | 0   | 0   | 24   | GET    | /@\w+                     | 0.712 | 6.124 | 85.464  | 3.561 | 4.784 |
| 173   | 0   | 0   | 173  | GET    | /posts/[0-9]+             | 0.060 | 0.560 | 62.136  | 0.359 | 0.420 |
| 8     | 0   | 0   | 8    | GET    | /posts\?max_created_at=.+ | 7.276 | 8.260 | 61.988  | 7.748 | 8.260 |
| 1329  | 0   | 0   | 1329 | GET    | /image/\d+                | 0.000 | 0.296 | 2.752   | 0.002 | 0.004 |
| 48    | 0   | 0   | 0    | POST   | /login                    | 0.016 | 0.064 | 0.864   | 0.018 | 0.040 |
| 10    | 0   | 5   | 0    | POST   | /                         | 0.000 | 0.128 | 0.264   | 0.026 | 0.052 |
| 5     | 0   | 0   | 0    | POST   | /register                 | 0.020 | 0.076 | 0.168   | 0.034 | 0.076 |
| 222   | 0   | 0   | 222  | GET    | /css/style.css            | 0.000 | 0.004 | 0.084   | 0.000 | 0.000 |
| 1     | 0   | 0   | 1    | GET    | /initialize               | 0.068 | 0.068 | 0.068   | 0.068 | 0.068 |
| 6     | 0   | 0   | 0    | POST   | /comment                  | 0.008 | 0.024 | 0.068   | 0.011 | 0.024 |
| 222   | 0   | 0   | 222  | GET    | /favicon.ico              | 0.000 | 0.004 | 0.056   | 0.000 | 0.000 |
| 222   | 0   | 0   | 222  | GET    | /js/main.js               | 0.000 | 0.004 | 0.052   | 0.000 | 0.000 |
| 222   | 0   | 0   | 222  | GET    | /js/timeago.min.js        | 0.000 | 0.008 | 0.052   | 0.000 | 0.000 |
| 9     | 0   | 0   | 0    | GET    | /logout                   | 0.000 | 0.004 | 0.008   | 0.001 | 0.004 |
| 5     | 0   | 5   | 0    | GET    | /admin/banned             | 0.000 | 0.004 | 0.004   | 0.001 | 0.004 |
| 18    | 0   | 0   | 18   | GET    | /login                    | 0.000 | 0.004 | 0.004   | 0.000 | 0.000 |
+-------+-----+-----+------+--------+---------------------------+-------+-------+---------+-------+-------+
