+-------+-----+-----+-------+--------+---------------------------+-------+-------+---------+-------+-------+
| COUNT | 5XX | 4XX |  2XX  | METHOD |            URI            |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |
+-------+-----+-----+-------+--------+---------------------------+-------+-------+---------+-------+-------+
| 685   | 0   | 0   | 685   | GET    | /                         | 0.056 | 0.712 | 249.803 | 0.365 | 0.480 |
| 12370 | 0   | 0   | 12370 | GET    | /image/\d+                | 0.000 | 0.136 | 130.639 | 0.011 | 0.024 |
| 160   | 0   | 0   | 160   | GET    | /posts\?max_created_at=.+ | 0.068 | 0.931 | 82.651  | 0.517 | 0.676 |
| 160   | 0   | 0   | 160   | GET    | /@\w+                     | 0.048 | 0.656 | 63.299  | 0.396 | 0.532 |
| 1060  | 0   | 0   | 1060  | GET    | /posts/[0-9]+             | 0.004 | 0.220 | 55.862  | 0.053 | 0.100 |
| 503   | 0   | 0   | 0     | POST   | /login                    | 0.008 | 0.192 | 26.168  | 0.052 | 0.092 |
| 120   | 0   | 60  | 0     | POST   | /                         | 0.000 | 0.252 | 7.296   | 0.061 | 0.168 |
| 69    | 0   | 0   | 0     | POST   | /register                 | 0.016 | 0.204 | 5.944   | 0.086 | 0.132 |
| 1392  | 0   | 0   | 1392  | GET    | /favicon.ico              | 0.004 | 0.088 | 2.792   | 0.002 | 0.004 |
| 1392  | 0   | 0   | 1392  | GET    | /js/main.js               | 0.000 | 0.052 | 2.240   | 0.002 | 0.004 |
| 1392  | 0   | 0   | 1392  | GET    | /js/timeago.min.js        | 0.000 | 0.048 | 2.104   | 0.002 | 0.004 |
| 1392  | 0   | 0   | 1392  | GET    | /css/style.css            | 0.000 | 0.064 | 2.000   | 0.001 | 0.004 |
| 65    | 0   | 0   | 0     | POST   | /comment                  | 0.004 | 0.208 | 1.984   | 0.031 | 0.044 |
| 166   | 0   | 0   | 166   | GET    | /login                    | 0.004 | 0.044 | 0.668   | 0.004 | 0.008 |
| 69    | 0   | 69  | 0     | GET    | /admin/banned             | 0.004 | 0.032 | 0.512   | 0.007 | 0.016 |
| 83    | 0   | 0   | 0     | GET    | /logout                   | 0.004 | 0.028 | 0.264   | 0.003 | 0.008 |
| 1     | 0   | 0   | 1     | GET    | /initialize               | 0.064 | 0.064 | 0.064   | 0.064 | 0.064 |
+-------+-----+-----+-------+--------+---------------------------+-------+-------+---------+-------+-------+
